😀	grinning	grinning,grinning_face
🧒🏼	child_tone2	child_tone2,child_medium_light_skin_tone
🧒🏽	child_tone3	child_tone3,child_medium_skin_tone
🧒🏾	child_tone4	child_tone4,child_medium_dark_skin_tone
🧒🏿	child_tone5	child_tone5,child_dark_skin_tone
👦	boy	boy
👦🏻	boy_tone1	boy_tone1
👦🏼	boy_tone2	boy_tone2
👦🏽	boy_tone3	boy_tone3
👦🏾	boy_tone4	boy_tone4
👦🏿	boy_tone5	boy_tone5
👧	girl	girl
👧🏻	girl_tone1	girl_tone1
👧🏼	girl_tone2	girl_tone2
👧🏽	girl_tone3	girl_tone3
👧🏾	girl_tone4	girl_tone4
👧🏿	girl_tone5	girl_tone5
🧑	adult	adult,person
🧑🏻	adult_tone1	adult_tone1,adult_light_skin_tone
🧑🏼	adult_tone2	adult_tone2,adult_medium_light_skin_tone
🧑🏽	adult_tone3	adult_tone3,adult_medium_skin_tone
🧑🏾	adult_tone4	adult_tone4,adult_medium_dark_skin_tone
🧑🏿	adult_tone5	adult_tone5,adult_dark_skin_tone
👱	blond_haired_person	blond_haired_person,person_with_blond_hair
👱🏻	blond_haired_person_tone1	blond_haired_person_tone1,person_with_blond_hair_tone1
👱🏼	blond_haired_person_tone2	blond_haired_person_tone2,person_with_blond_hair_tone2
👱🏽	blond_haired_person_tone3	blond_haired_person_tone3,person_with_blond_hair_tone3
👱🏾	blond_haired_person_tone4	blond_haired_person_tone4,person_with_blond_hair_tone4
👱🏿	blond_haired_person_tone5	blond_haired_person_tone5,person_with_blond_hair_tone5
👨	man	man
👨🏻	man_tone1	man_tone1
👨🏼	man_tone2	man_tone2
👨🏽	man_tone3	man_tone3
👨🏾	man_tone4	man_tone4
👨🏿	man_tone5	man_tone5
🧔	bearded_person	bearded_person,person_beard
🧔🏻	bearded_person_tone1	bearded_person_tone1,bearded_person_light_skin_tone
🧔🏼	bearded_person_tone2	bearded_person_tone2,bearded_person_medium_light_skin_tone
🧔🏽	bearded_person_tone3	bearded_person_tone3,bearded_person_medium_skin_tone
🧔🏾	bearded_person_tone4	bearded_person_tone4,bearded_person_medium_dark_skin_tone
